Index,Date,Type Code,Type Name,Type Shortname,Account,Amount,Amount Currency Full,Amount Currency,Account To,Amount To,Amount To Currency Full,Amount To Currency,Balance,Balance Currency Full,Balance Currency,Base Category,Sub Category,Full Category,Description,Agent,Check number,Class
102,2 Jun 2020 00:31:12,5,Money Transfer,TMT,Primary (KBank),50000,Thai Baht,THB,Saving Account (ME),50000,Thai Baht,THB,29271.87,Thai Baht,THB,,,,,,,
103,2 Jun 2020 19:41:53,2,Expense,TEP,Wallet,696,Thai Baht,THB,,0,Unknown,UKN,304,Thai Baht,THB,Food,Dinner,Food: Dinner,,,,
104,2 Jun 2020 19:42:27,2,Expense,TEP,Wallet,4,Thai Baht,THB,,0,Unknown,UKN,300,Thai Baht,THB,Gift,Just for fun,Gift: Just for fun,,Natcha,,
105,2 Jun 2020 19:45:56,5,Money Transfer,TMT,Primary (KBank),500,Thai Baht,THB,Wallet,500,Thai Baht,THB,28771.87,Thai Baht,THB,,,,,,,
106,5 Jun 2020 22:06:08,5,Money Transfer,TMT,Wallet,780,Thai Baht,THB,Primary (KBank),780,Thai Baht,THB,20,Thai Baht,THB,,,,,,,
107,9 Jun 2020 10:00:33,2,Expense,TEP,Wisdom (KBank),99,Thai Baht,THB,,0,Unknown,UKN,1010839,Thai Baht,THB,Digital Shopping,Services,Digital Shopping: Services,Apple iCloud storage  Auto-generated transaction,Apple,,
108,13 Jun 2020 13:07:51,2,Expense,TEP,World Mastercard (KTC),770,Thai Baht,THB,,0,Unknown,UKN,119230,Thai Baht,THB,Food,Lunch,Food: Lunch,,MK,,
109,13 Jun 2020 15:54:06,3,Income,TIN,Primary (KBank),220,Thai Baht,THB,,0,Unknown,UKN,29771.87,Thai Baht,THB,Gifts,,Gifts,iPad,Natcha,,
110,18 Jun 2020 00:29:42,1,Opening Balance,TOB,Lazada (CITI),0,Thai Baht,THB,,0,Unknown,UKN,200000,Thai Baht,THB,,,,,,,
111,18 Jun 2020 00:29:52,2,Expense,TEP,Lazada (CITI),2680.59,Thai Baht,THB,,0,Unknown,UKN,197319.41,Thai Baht,THB,Physical Shopping,Accessories,Physical Shopping: Accessories,,Lazada,,
112,18 Jun 2020 00:30:48,2,Expense,TEP,Lazada (CITI),330.65,Thai Baht,THB,,0,Unknown,UKN,196988.76,Thai Baht,THB,Food,Snacks,Food: Snacks,,Lazada,,
